TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;5,28;;-9,30;0,76;0,28;27,68;9,63;-7,04;6,80;9,52;2,72;0,30;0,65;28,30;-0,38;1,04;-8,17;-3,01;6,82;0,37;0,62;0,43;2,55;;292.615,26;6,95;-0,57;0,15;804.458.064,96
ABCB4;21,99;8,85;5,56;0,82;0,09;21,67;12,42;10,32;4,62;4,62;;;0,57;-2,34;-0,09;0,20;14,71;1,56;;0,11;0,89;0,15;35,11;14,24;4.759.560,61;26,90;3,96;0,57;5.380.004.285,43
ABEV3;11,99;8,77;12,81;2,04;1,33;51,50;25,06;16,08;8,22;7,60;-0,63;-0,16;2,06;48,21;-1,86;1,11;15,95;10,38;18,73;0,65;0,34;0,65;11,20;4,60;228.563.388,61;5,87;0,94;5,18;188.982.048.684,44
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;4,03;;-0,22;-3,94;0,12;5,17;-87,08;-112,32;-0,28;-2,09;-1,81;;0,24;1,14;-0,19;1,41;-1.823,36;-56,67;-58,22;-0,03;1,03;0,50;12,70;;245.512,35;-1,02;-18,65;0,00;250.344.389,88
AESB3;8,12;;-18,70;1,87;0,40;27,59;23,00;-10,02;8,14;18,96;10,82;2,49;1,87;-16,98;-0,46;0,84;-10,02;-2,15;5,10;0,21;0,73;0,21;;;13.684.494,00;4,34;-0,43;-0,09;7.663.439.293,44
AFLT3;7,74;5,55;18,70;2,03;1,38;54,38;48,60;34,47;13,26;13,46;0,20;0,03;6,45;10,22;-1,83;2,24;10,86;7,40;11,23;0,68;0,32;0,21;17,36;0,67;599,20;3,81;0,41;-2,62;488.275.578,00
AGRO3;20,11;7,74;14,96;0,95;0,54;28,86;17,49;11,78;10,07;15,69;5,62;0,53;1,76;3,97;-0,78;1,79;6,34;3,60;4,20;0,57;0,43;0,31;10,70;2,91;2.224.138,83;21,21;1,34;-0,38;2.064.964.058,84
AGXY3;5,81;;-0,03;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,06;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;57.907,78;-118,43;-172,09;0,00;98.593.207,51
AHEB3;27,00;;2,22;0,92;0,42;19,41;12,54;15,36;2,72;2,65;-0,11;-0,04;0,34;1,30;-0,75;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;17.380,67;29,44;12,15;-0,13;234.493.614,00
AHEB5;58,00;;4,77;1,97;0,91;19,41;12,54;15,36;5,85;2,65;-0,11;-0,04;0,73;2,79;-1,61;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;0,00;29,44;12,15;-0,28;234.493.614,00
AHEB6;55,00;;4,53;1,87;0,86;19,41;12,54;15,36;5,55;2,65;-0,11;-0,04;0,70;2,65;-1,53;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;5.500,00;29,44;12,15;-0,27;234.493.614,00
ALLD3;8,40;24,22;7,14;0,53;0,24;11,61;3,27;2,07;4,53;5,75;1,21;0,14;0,15;0,77;-0,85;1,76;7,44;3,34;7,88;0,45;0,55;1,61;8,27;2,08;1.451.576,26;15,81;1,18;-0,26;796.558.089,60
ALOS3;24,09;5,02;16,47;0,90;0,46;74,56;55,52;26,33;7,81;5,90;-1,91;-0,22;4,34;4,85;-0,54;2,91;5,48;2,79;10,76;0,51;0,46;0,11;29,82;101,81;59.152.692,39;26,67;1,46;1,82;12.145.959.913,23
ALPA3;9,70;1,00;25,50;1,60;1,07;46,65;5,85;5,97;26,03;24,96;-0,71;-0,04;1,52;3,93;-2,09;2,25;6,29;4,19;4,82;0,67;0,33;0,70;2,05;-1,06;41.220,26;6,05;0,38;-0,22;6.532.944.639,49
ALPA4;9,43;1,13;24,79;1,56;1,04;46,65;5,85;5,97;25,31;24,96;-0,71;-0,04;1,48;3,82;-2,04;2,25;6,29;4,19;4,82;0,67;0,33;0,70;2,05;-1,06;7.624.403,22;6,05;0,38;-0,21;6.532.944.639,49
ALPK3;3,45;;-216,98;2,16;0,29;32,65;13,48;-0,20;3,27;8,63;5,36;3,53;0,44;-9,65;-0,37;0,88;-0,99;-0,13;11,67;0,13;0,86;0,66;7,96;;349.471,26;1,60;-0,02;2,39;756.604.778,85
ALUP11;31,03;2,90;9,86;1,19;0,33;69,38;65,43;24,01;3,62;6,83;3,21;1,06;2,37;2,94;-0,41;2,13;12,11;3,31;11,18;0,27;0,62;0,14;-2,71;3,11;14.547.810,57;26,00;3,15;0,24;10.228.321.683,01
ALUP3;11,34;2,65;10,81;1,31;0,36;69,38;65,43;24,01;3,96;6,83;3,21;1,06;2,59;3,22;-0,45;2,13;12,11;3,31;11,18;0,27;0,62;0,14;-2,71;3,11;50.275,74;8,67;1,05;0,26;10.228.321.683,01
ALUP4;9,80;3,06;9,34;1,13;0,31;69,38;65,43;24,01;3,43;6,83;3,21;1,06;2,24;2,78;-0,39;2,13;12,11;3,31;11,18;0,27;0,62;0,14;-2,71;3,11;79.225,70;8,67;1,05;0,22;10.228.321.683,01
AMAR3;1,16;;-9,77;2,06;0,30;51,34;12,16;-4,04;3,24;6,85;3,61;2,29;0,39;-1,42;-0,40;0,56;-21,07;-3,02;18,95;0,14;0,86;0,75;-13,55;;170.354,57;0,56;-0,12;0,11;595.609.009,88
AMBP3;0,56;;-3,65;0,86;0,06;18,22;17,36;-3,54;0,74;5,80;5,06;5,81;0,13;0,20;-0,10;2,72;-23,47;-1,52;8,91;0,06;0,87;0,43;67,64;;14.686.527,09;0,65;-0,15;0,19;935.434.466,40
AMER3;5,31;;0,12;0,24;0,07;29,46;-2,68;63,18;-2,75;-5,63;-2,87;0,25;0,07;0,51;-0,11;1,49;207,93;56,25;-142,53;0,27;0,73;0,89;16,22;;10.589.388,91;21,85;45,44;0,00;1.063.300.918,14
AMOB3;12,03;;;;;3,60;-46,82;-57,58;;;-0,01;;;;;0,19;-2.595,29;-6.030,26;2.660,36;-2,32;3,32;104,73;;;341.489,57;;;;0,00
ANIM3;3,19;1,68;9,17;0,54;0,13;61,00;23,44;3,62;1,42;5,84;4,42;1,69;0,33;0,99;-0,17;2,22;5,91;1,41;10,41;0,24;0,70;0,39;26,33;;8.583.621,00;5,89;0,35;-0,04;1.288.341.487,95
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
APTI3;197,64;;0,13;0,01;0,01;100,11;36,55;70,66;0,26;0,37;-2,23;-0,12;0,09;0,02;-0,01;9,00;10,21;5,45;2,60;0,53;0,47;0,08;-2,98;;;14.644,64;1.495,24;0,00;37.417.457,40
APTI4;2.930,92;;1,96;0,20;0,11;100,11;36,55;70,66;3,79;0,37;-2,23;-0,12;1,39;0,26;-0,20;9,00;10,21;5,45;2,60;0,53;0,47;0,08;-2,98;;0,00;14.644,64;1.495,24;-0,05;37.417.457,40
ARML3;2,97;7,18;14,03;0,83;0,22;35,93;22,91;3,94;2,41;6,88;4,47;1,55;0,55;1,20;-0,33;2,42;5,95;1,60;11,04;0,27;0,72;0,41;95,79;51,59;4.798.568,96;3,56;0,21;-0,22;1.029.087.468,09
ASAI3;8,69;1,23;12,76;2,10;0,27;16,67;5,36;1,21;2,88;5,85;2,97;2,17;0,15;8,20;-0,40;1,11;16,47;2,08;17,91;0,13;0,87;1,72;21,32;-2,51;106.079.806,43;4,14;0,68;0,33;11.761.360.569,31
AURA33;72,95;3,17;-45,05;20,77;2,49;49,36;42,08;-9,03;9,67;10,62;0,95;2,05;4,07;86,94;-3,36;1,12;-46,12;-5,53;34,25;0,12;0,88;0,61;29,10;;20.417.724,13;3,51;-1,62;-0,43;15.844.417.196,25
AURE3;10,50;0,54;-15,74;0,87;0,22;19,44;13,73;-6,34;7,27;20,28;13,01;1,56;1,00;4,74;-0,27;1,36;-5,52;-1,42;3,55;0,26;0,71;0,22;;;30.407.403,91;12,08;-0,67;-0,19;11.028.968.727,00
AVLL3;1,50;;-4,89;-2,18;0,21;37,40;21,30;-8,65;1,99;5,34;3,35;;0,42;-3,89;-0,35;0,88;-44,56;-4,36;24,32;-0,10;1,07;0,50;32,82;;5.912,04;-0,69;-0,31;0,07;292.995.091,50
AZEV3;0,37;;-1,76;0,28;0,10;-0,65;-27,51;-65,71;-4,20;-18,98;-14,77;0,99;1,16;-1,30;-0,13;0,74;-16,00;-5,69;-9,19;0,36;0,64;0,09;144,07;;333.987,70;1,32;-0,21;0,07;219.319.570,89
AZEV4;0,37;;-1,76;0,28;0,10;-0,65;-27,51;-65,71;-4,20;-18,98;-14,77;0,99;1,16;-1,30;-0,13;0,74;-16,00;-5,69;-9,19;0,36;0,64;0,09;144,07;;781.279,09;1,32;-0,21;0,07;219.319.570,89
AZTE3;0,40;;;;;;;;;;;;;;;;;;;;;;;;1.027.682,09;;;;0,00
AZUL4;1,28;;0,23;-0,15;0,14;29,19;17,10;81,72;1,08;9,19;8,86;;0,18;-0,27;-0,20;0,34;-65,94;63,84;42,77;-0,97;1,97;0,78;11,28;;25.649.964,35;-8,61;5,68;0,00;1.183.265.221,91
AZZA3;25,21;2,28;6,55;0,62;0,34;54,72;6,76;6,88;6,66;9,49;2,83;0,27;0,45;2,01;-0,60;1,61;9,53;5,12;0,36;0,54;0,46;0,74;37,92;37,42;41.910.067,78;40,39;3,85;0,08;5.205.608.185,73
B3SA3;12,71;2,19;13,90;3,39;1,42;90,57;58,91;44,65;10,54;10,53;-0,01;0,00;6,21;6,59;-2,19;2,62;24,40;10,24;9,27;0,42;0,58;0,23;12,34;12,15;280.632.257,39;3,75;0,91;0,92;66.937.215.000,00
BAHI3;4,51;;-1,66;1,84;0,26;56,98;-7,21;-20,37;-4,70;-6,22;-1,52;0,60;0,34;-1,15;-0,29;0,31;-110,79;-15,70;-17,28;0,14;0,79;0,77;46,22;;16.499,00;2,45;-2,71;0,00;119.021.524,82
BALM3;20,90;7,51;7,20;1,13;0,71;62,09;20,86;13,02;4,50;3,00;-1,34;-0,34;0,94;1,37;-2,63;3,46;15,66;9,89;14,03;0,63;0,37;0,76;5,42;35,38;1.845,62;18,52;2,90;0,07;197.960.000,00
BALM4;19,50;11,73;6,72;1,05;0,66;62,09;20,86;13,02;4,20;3,00;-1,34;-0,34;0,88;1,28;-2,46;3,46;15,66;9,89;14,03;0,63;0,37;0,76;5,42;35,38;26.900,00;18,52;2,90;0,06;197.960.000,00
BAUH3;0,00;;0,00;0,00;0,00;25,05;8,24;10,69;0,00;;-2,70;-0,43;0,00;0,00;0,00;1,92;20,76;14,49;13,86;0,70;0,30;1,36;6,53;0,98;;26,02;5,40;0,00;
