TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;4,65;;-8,80;0,66;0,23;26,83;9,47;-6,49;6,04;9,13;3,10;0,34;0,57;162,01;-0,32;1,01;-7,54;-2,66;5,63;0,35;0,64;0,41;2,55;;284.566,89;7,00;-0,53;0,17;708.471.591,30
ABCB4;23,65;11,07;5,97;0,86;0,09;20,09;11,47;9,40;4,89;4,89;;;0,56;-2,29;-0,10;0,24;14,47;1,59;;0,11;0,89;0,17;35,11;14,28;13.784.145,89;27,39;3,96;0,18;5.786.134.668,05
ABEV3;13,65;8,16;13,42;2,34;1,53;51,77;26,45;17,73;8,99;8,28;-0,71;-0,18;2,38;40,12;-2,18;1,15;17,43;11,39;20,93;0,65;0,34;0,64;11,20;6,36;459.995.249,53;5,84;1,02;0,89;215.146.369.019,40
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;3,25;;-0,16;-0,97;0,10;1,74;-117,42;-147,83;-0,20;-1,94;-1,74;;0,24;0,99;-0,17;1,39;-598,24;-63,76;-66,03;-0,11;1,11;0,43;12,70;;393.098,32;-3,35;-20,06;0,00;201.890.637,00
AESB3;8,12;;-14,70;1,80;0,38;27,47;23,70;-12,86;7,98;18,28;10,30;2,32;1,89;-50,54;-0,46;0,95;-12,23;-2,60;4,83;0,21;0,73;0,20;;;13.684.494,00;4,52;-0,55;-0,19;7.663.439.293,44
AFLT3;7,12;6,57;12,88;1,76;1,19;67,69;61,47;42,80;8,97;8,76;-0,21;-0,04;5,51;5,70;-1,75;2,90;13,65;9,25;13,92;0,68;0,32;0,22;17,36;6,66;3.705,89;4,05;0,55;0,24;449.163.064,00
AGRO3;19,80;3,80;-85,74;0,93;0,53;19,34;6,62;-2,32;30,03;47,04;17,01;0,53;1,99;3,91;-0,76;1,79;-1,09;-0,62;-0,36;0,57;0,43;0,27;10,70;;3.453.752,32;21,21;-0,23;0,79;2.033.132.191,20
AGXY3;4,40;;0,06;-0,40;0,03;-1,14;39,74;70,06;0,11;1,47;1,36;;0,04;0,15;-0,06;2,19;-661,54;55,38;83,66;-0,08;1,08;0,79;24,29;123,15;68.811,58;-10,93;72,30;0,00;74.666.112,40
AHEB3;23,00;;2,38;0,77;0,33;19,91;11,04;12,25;2,64;1,67;-1,03;-0,30;0,29;1,32;-0,58;2,46;32,19;13,95;27,08;0,43;0,57;1,14;44,62;;4.086,20;30,00;9,66;-0,06;200.862.106,00
